Customer,Category,Sub Category,Amount
Paul Stevenson,Furniture,Chairs,213
Pauline Johnson,Furniture,Furnishings,18
Pauline Johnson,Technology,Accessories,1400
Pete Armstrong,Technology,Accessories,340
Pete Kriz,Furniture,Chairs,243
Pete Kriz,Furniture,Furnishings,12
Pete Kriz,Office Supplies,Storage,932
Pete Kriz,Office Supplies,Paper,91
Pete Kriz,Office Supplies,Labels,22
Peter Bühler,Technology,Phones,12
Peter McVee,Furniture,Furnishings,31
Philip Brown,Furniture,Chairs,384
Philip Fox,Furniture,Tables,618
Philisse Overcash,Office Supplies,Paper,313
Philisse Overcash,Technology,Machines,1008
Phillina Ober,Office Supplies,Storage,273
Phillina Ober,Office Supplies,Binders,80
Phillina Ober,Office Supplies,Labels,12
Phillina Ober,Technology,Phones,161
Rachel Payne,Office Supplies,Appliances,134
Rachel Payne,Office Supplies,Paper,13
Ralph Arnett,Furniture,Bookcases,192
Ralph Kennedy,Office Supplies,Paper,12
Raymond Buch,Office Supplies,Art,364
Raymond Buch,Office Supplies,Storage,162
Raymond Buch,Technology,Phones,35
Resi Pölking,Furniture,Furnishings,30
Rick Bensley,Furniture,Furnishings,1049
Rick Bensley,Office Supplies,Paper,65
Rick Bensley,Office Supplies,Binders,17
Rick Bensley,Technology,Accessories,96
Rick Hansen,Office Supplies,Binders,20
Rob Beeghly,Office Supplies,Appliances,61
Rob Beeghly,Office Supplies,Paper,39
Rob Beeghly,Technology,Accessories,99
Rob Dowd,Furniture,Furnishings,57
Rob Dowd,Office Supplies,Storage,37
Rob Dowd,Office Supplies,Envelopes,11
Rob Lucas,Office Supplies,Binders,23
Rob Lucas,Technology,Phones,980
Rob Williams,Furniture,Tables,1114
Rob Williams,Office Supplies,Envelopes,149
Rob Williams,Office Supplies,Storage,13
Rob Williams,Office Supplies,Binders,6
Robert Marley,Technology,Phones,654
Robert Marley,Technology,Accessories,29
Robert Waldorf,Office Supplies,Binders,3
Roger Barcio,Office Supplies,Binders,6
Roland Fjeld,Furniture,Furnishings,158
Roland Fjeld,Office Supplies,Paper,155
Roland Fjeld,Office Supplies,Binders,61
Roland Fjeld,Office Supplies,Art,57
Roland Fjeld,Office Supplies,Fasteners,10
Roland Schwarz,Office Supplies,Appliances,281
Roland Schwarz,Technology,Phones,308
Roland Schwarz,Technology,Accessories,300
Rose O'Brian,Furniture,Tables,190
Ross Baird,Furniture,Tables,2065
Ross Baird,Furniture,Furnishings,1523
Ross Baird,Office Supplies,Binders,190
Ross Baird,Office Supplies,Paper,41
Ross Baird,Office Supplies,Storage,5
Ross Baird,Technology,Accessories,701
Ross DeVincentis,Office Supplies,Paper,147
Roy Collins,Office Supplies,Storage,25
Roy Collins,Office Supplies,Fasteners,11
Roy Collins,Technology,Phones,328
Roy Französisch,Office Supplies,Appliances,36
Ruben Ausman,Office Supplies,Storage,78
Ruben Ausman,Technology,Accessories,160
Ruben Dartt,Office Supplies,Envelopes,28
Russell Applegate,Office Supplies,Art,43
Russell Applegate,Office Supplies,Storage,24
Russell Applegate,Office Supplies,Binders,12
Russell Applegate,Office Supplies,Appliances,9
Russell Applegate,Technology,Phones,1984
Ryan Crowe,Furniture,Furnishings,35
Ryan Crowe,Office Supplies,Envelopes,135
Ryan Crowe,Office Supplies,Fasteners,40
Ryan Crowe,Office Supplies,Paper,24
Sally Hughsby,Office Supplies,Paper,144
Sally Hughsby,Office Supplies,Envelopes,11
Sally Hughsby,Office Supplies,Art,9
Sally Knutson,Office Supplies,Binders,7
Sally Matthias,Office Supplies,Binders,106
Sally Matthias,Office Supplies,Paper,11
Sample Company A,Furniture,Furnishings,22
Sandra Flanagan,Furniture,Chairs,71
Sandra Glassco,Office Supplies,Appliances,839
Sanjit Chand,Furniture,Chairs,372
Sanjit Chand,Furniture,Furnishings,325
Sanjit Chand,Office Supplies,Binders,120
Sanjit Engle,Office Supplies,Appliances,407
Sanjit Engle,Technology,Accessories,85
Sanjit Engle,Technology,Phones,22
Sanjit Jacobs,Office Supplies,Paper,8
Sanjit Jacobs,Office Supplies,Fasteners,7
Saphhira Shifley,Office Supplies,Storage,50
Saphhira Shifley,Office Supplies,Paper,13
Sara Luxemburg,Furniture,Chairs,1167
Sarah Foster,Office Supplies,Art,9
Scott Williamson,Office Supplies,Storage,174
Sean Braxton,Technology,Machines,5580
Sean Christensen,Technology,Accessories,133
Sean O'Donnell,Furniture,Tables,958
Sean O'Donnell,Office Supplies,Storage,22
Seth Vernon,Furniture,Furnishings,10
Shahid Hopkins,Office Supplies,Art,5
Shirley Daniels,Technology,Machines,70
Shirley Jackson,Office Supplies,Appliances,97
Sibella Parks,Office Supplies,Storage,460
Sonia Sunley,Technology,Accessories,94
Stephanie Phelps,Office Supplies,Paper,164
Stephanie Phelps,Office Supplies,Storage,81
Stephanie Phelps,Office Supplies,Art,39
Steve Chapman,Office Supplies,Supplies,46
Steve Nguyen,Furniture,Bookcases,532
Steve Nguyen,Furniture,Chairs,212
Steve Nguyen,Office Supplies,Envelopes,113
Steve Nguyen,Technology,Phones,371
Steven Cartwright,Furniture,Furnishings,47
Steven Cartwright,Office Supplies,Storage,227
Steven Cartwright,Office Supplies,Envelopes,115
Steven Cartwright,Office Supplies,Binders,33
Steven Cartwright,Technology,Phones,1182
Steven Roelle,Office Supplies,Paper,379
Stewart Carmichael,Office Supplies,Appliances,208
Stewart Carmichael,Office Supplies,Binders,17
Sue Ann Reed,Furniture,Chairs,333
Sue Ann Reed,Office Supplies,Binders,187
Sue Ann Reed,Office Supplies,Storage,15
Sue Ann Reed,Technology,Phones,2736
Sung Pak,Office Supplies,Art,108
Sung Pak,Office Supplies,Envelopes,15
Sung Shariari,Office Supplies,Supplies,107
Sung Shariari,Office Supplies,Paper,9
Sylvia Foulston,Furniture,Chairs,302
Sylvia Foulston,Office Supplies,Appliances,555
Sylvia Foulston,Office Supplies,Storage,523
Sylvia Foulston,Office Supplies,Art,162
Tamara Dahlen,Office Supplies,Art,41
Tamara Dahlen,Office Supplies,Paper,25
Tamara Dahlen,Office Supplies,Binders,19
Tamara Dahlen,Office Supplies,Labels,10
Tamara Willingham,Office Supplies,Appliances,158
Tamara Willingham,Office Supplies,Paper,6
Tamara Willingham,Technology,Phones,203
Tanja Norvell,Furniture,Tables,1273
Tanja Norvell,Furniture,Furnishings,24
Tanja Norvell,Office Supplies,Supplies,185
Tanja Norvell,Office Supplies,Appliances,78
Tanja Norvell,Office Supplies,Binders,28
Ted Butterfield,Furniture,Chairs,319
Ted Butterfield,Office Supplies,Storage,209
Ted Butterfield,Office Supplies,Binders,48
Ted Butterfield,Office Supplies,Paper,47
Ted Butterfield,Office Supplies,Art,2
Ted Butterfield,Technology,Accessories,30
Ted Trevino,Office Supplies,Paper,6
Theone Pippenger,Office Supplies,Supplies,12
Thomas Brumley,Office Supplies,Binders,6
Thomas Seio,Furniture,Furnishings,88
Tiffany House,Office Supplies,Paper,85
Tiffany House,Office Supplies,Supplies,24
Tiffany House,Technology,Phones,382
Toby Ritter,Office Supplies,Labels,10
Toby Ritter,Technology,Accessories,240
Toby Swindell,Office Supplies,Binders,1
Tracy Blumstein,Furniture,Bookcases,3083
Tracy Blumstein,Furniture,Furnishings,124
Tracy Blumstein,Office Supplies,Paper,226
Tracy Blumstein,Office Supplies,Art,102
Tracy Blumstein,Office Supplies,Binders,17
Tracy Blumstein,Office Supplies,Envelopes,3
Tracy Blumstein,Technology,Accessories,240
Tracy Hopkins,Office Supplies,Paper,60
Tracy Hopkins,Office Supplies,Art,16
Tracy Hopkins,Technology,Phones,544
Tracy Zic,Furniture,Chairs,604
Tracy Zic,Office Supplies,Art,3
Tracy Zic,Technology,Phones,560
Troy Blackwell,Furniture,Furnishings,3
Troy Staebel,Office Supplies,Storage,244
Troy Staebel,Office Supplies,Binders,17
Trudy Glocke,Office Supplies,Paper,181
Trudy Glocke,Office Supplies,Supplies,7
Valerie Dominguez,Furniture,Chairs,552
Valerie Dominguez,Office Supplies,Art,186
Valerie Mitchum,Office Supplies,Storage,46
Victor Preis,Office Supplies,Binders,76
Victoria Brennan,Office Supplies,Appliances,648
Victoria Brennan,Office Supplies,Labels,21
Victoria Brennan,Office Supplies,Paper,6
Victoria Wilson,Furniture,Bookcases,452
Victoria Wilson,Office Supplies,Labels,24
Victoria Wilson,Technology,Machines,1188
Victoria Wilson,Technology,Accessories,90
Victoria Wilson,Technology,Phones,63
Xylona Preis,Technology,Accessories,9
Yoseph Carroll,Technology,Copiers,1200
Zuschuss Carroll,Furniture,Tables,1299
Zuschuss Carroll,Office Supplies,Appliances,214
Zuschuss Carroll,Office Supplies,Paper,31
Zuschuss Carroll,Office Supplies,Binders,17
Zuschuss Carroll,Office Supplies,Art,12
Zuschuss Carroll,Technology,Phones,85
Zuschuss Carroll,Technology,Accessories,26
Zuschuss Donatelli,Office Supplies,Binders,23
Zuschuss Donatelli,Office Supplies,Art,9
Zuschuss Donatelli,Technology,Phones,213
